Country;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgium;193;214;217;219;219;218;230;218;194;186;170;168;165;169;171;178;187;186;183;197
Bulgaria;146;158;151;145;149;146;142;174;146;155;133;137;151;166;177;158;187;179;190;203
Czechia;414;472;491;439;438;418;415;405;386;373;326;322;338;354;363;374;393;386;393;411
Denmark;150;162;164;164;167;165;161;144;136;127;117;123;127;122;123;116;119;111;107;111
Germany;124;132;131;132;131;137;133;127;118;114;101;101;103;102;106;108;112;111;111;118
Estonia;332;361;327;295;171;208;207;208;200;180;177;218;232;261;251;229;192;218;196;202
Ireland;72;79;82;87;83;81;80;82;73;74;75;70;67;65;60;61;63;59;68;62
Greece;131;145;144;133;153;141;128;112;101;92;71;77;81;101;109;99;97;110;135;116
Spain;187;195;189;178;173;172;168;175;167;151;134;127;132;137;143;146;147;149;158;168
France;124;135;131;124;134;135;129;125;119;119;109;111;113;107;110;109;110;106;115;120
Croatia;184;204;183;162;166;140;141;140;147;140;130;148;163;179;179;167;197;195;206;219
Italy;121;128;125;124;127;127;120;114;112;108;98;95;98;98;102;102;106;104;106;109
Cyprus;74;88;81;130;124;136;144;139;139;141;105;79;76;66;58;48;34;68;51;37
Latvia;172;177;183;199;186;194;187;183;178;172;154;171;180;183;184;163;159;164;162;178
Lithuania;123;129;163;157;146;152;126;150;128;135;118;102;104;132;130;121;122;122;127;136
Luxembourg;390;408;449;424;411;418;454;382;281;271;278;359;384;381;376;408;426;397;409;420
Hungary;417;415;371;340;322;316;302;299;270;269;274;283;321;340;343;349;355;365;363;360
Malta;57;60;62;69;73;55;50;54;57;57;55;70;84;68;63;114;114;123;99;96
Netherlands;230;237;232;242;232;223;236;227;230;229;212;206;205;198;198;198;194;189;192;227
Austria;247;254;240;224;227;236;237;230;224;216;206;205;201;202;208;217;219;211;219;223
Poland;321;339;304;275;278;274;262;277;271;254;227;217;245;265;271;278;290;284;285;296
Portugal;245;243;240;258;248;246;223;231;233;225;192;184;183;193;213;208;231;242;249;251
Romania;215;225;221;190;194;215;208;247;221;213;201;190;203;226;242;254;268;273;286;273
Slovenia;298;298;292;299;293;298;289;298;308;304;272;272;278;285;276;285;294;257;206;207
Slovakia;713;540;537;546;503;468;431;448;434;440;403;365;384;402;400;417;425;399;377;413
Finland;107;110;105;101;103;104;102;102;99;103;95;100;108;116;117;123;120;121;118;128
Sweden;102;105;106;106;113;118;112;104;99;97;97;105;105;105;113;112;117;110;109;116
