Country	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
Austria	: 	: 	: 	: 	: 	55.8 	55.6 	52.3 	52.2 	52.1 	51.0 	51.4 	51.1 	51.3 	53.7 	51.2 	50.4 	49.2 	49.9 	54.1 	52.8 	50.9 	51.2 	51.6 	52.4 	51.1 	50.1 	49.3 	48.8 	48.6 	56.7 	56.0 
Belgium	: 	: 	: 	: 	: 	52.6 	53.1 	51.6 	51.0 	50.5 	49.4 	49.4 	49.9 	51.0 	49.3 	51.9 	48.8 	48.6 	50.8 	54.7 	53.9 	55.3 	56.5 	56.1 	55.6 	53.7 	53.1 	52.0 	52.2 	51.8 	59.2 	: 
Bulgaria	: 	: 	: 	: 	: 	31.7 	36.8 	31.8 	33.9 	41.4 	43.0 	40.6 	39.1 	38.6 	37.8 	36.7 	33.7 	37.7 	37.1 	39.3 	36.1 	33.7 	34.3 	37.8 	43.2 	40.4 	34.8 	34.8 	36.9 	35.5 	41.8 	: 
Liechtenstein	: 	: 	: 	: 	: 	33.3 	33.9 	33.9 	33.6 	34.3 	33.2 	32.5 	35.0 	34.1 	33.8 	33.1 	31.2 	30.1 	30.6 	32.5 	32.1 	32.1 	32.4 	33.3 	32.9 	33.2 	33.3 	33.3 	32.5 	32.8 	37.8 	: 
Cyprus	: 	: 	: 	: 	: 	30.9 	32.9 	34.2 	34.2 	34.1 	34.4 	35.3 	37.0 	40.5 	38.5 	39.3 	38.7 	37.6 	38.4 	42.1 	41.8 	42.2 	42.2 	43.0 	49.4 	40.6 	37.5 	36.5 	42.7 	38.4 	45.1 	: 
Czech Republic	: 	: 	: 	: 	: 	53.2 	41.7 	41.6 	41.9 	41.2 	40.8 	43.3 	44.7 	49.1 	42.3 	42.4 	41.5 	40.4 	40.9 	44.4 	43.6 	43.2 	44.7 	42.7 	42.6 	41.9 	39.8 	39.0 	40.6 	41.1 	47.2 	: 
Germany	: 	: 	: 	: 	: 	55.1 	49.4 	48.6 	48.1 	48.2 	47.8 	47.4 	47.9 	48.3 	46.8 	46.8 	45.2 	43.4 	44.2 	48.2 	48.1 	45.2 	44.9 	44.9 	44.3 	44.1 	44.4 	44.2 	44.3 	45.0 	50.8 	: 
Denmark	: 	: 	: 	: 	: 	58.5 	58.0 	55.9 	55.4 	54.5 	52.7 	52.8 	53.2 	53.6 	53.0 	51.2 	49.8 	49.6 	50.4 	56.5 	56.7 	56.4 	58.0 	55.8 	55.2 	54.5 	52.5 	50.5 	50.5 	49.5 	53.4 	: 
Average	: 	: 	: 	: 	: 	52.9 	50.4 	49.1 	48.2 	47.7 	46.9 	46.9 	47.2 	47.6 	47.0 	47.0 	46.3 	45.6 	46.8 	50.9 	50.9 	49.4 	50.0 	49.9 	49.3 	48.4 	47.7 	47.1 	46.9 	46.9 	53.5 	: 
Estonia	: 	: 	: 	: 	: 	39.7 	38.9 	36.7 	39.1 	40.1 	36.4 	35.0 	35.9 	35.0 	34.1 	33.7 	33.4 	33.7 	39.5 	45.9 	40.3 	37.4 	39.2 	38.4 	37.8 	39.5 	39.4 	39.2 	39.4 	39.4 	45.9 	: 
