Country Name	1983-12 	1984-12 	1985-12 	1986-12 	1987-12 	1988-12 	1989-12 	1990-12 	1991-12 	1992-12 	1993-12 	1994-12 	1995-12 	1996-12 	1997-12 	1998-12 	1999-12 	2000-12 	2001-12 	2002-12 	2003-12 	2004-12 	2005-12 	2006-12 	2007-12 	2008-12 	2009-12 	2010-12 	2011-12 	2012-12 	2013-12 	2014-12 	2015-12 	2016-12 	2017-12 	2018-12 	2019-12 	2020-12 	2021-12 
Austria	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	4.6 	4.9 	4.3 	4.2 	3.7 	4.4 	4.5 	5.2 	6.0 	5.9 	5.3 	4.5 	5.1 	5.4 	4.7 	5.1 	5.4 	5.8 	6.1 	6.3 	6.2 	5.9 	5.2 	4.7 	6.8 	4.8 
Belgium	: 	: 	: 	10.1 	9.5 	8.1 	6.9 	6.4 	6.7 	7.7 	9.5 	9.7 	9.8 	9.2 	9.4 	9.1 	7.6 	6.4 	7.5 	8.1 	8.5 	8.2 	8.5 	7.9 	7.1 	6.9 	8.4 	7.7 	7.1 	8.5 	8.7 	8.7 	8.9 	7.4 	6.2 	5.9 	5.4 	6.2 	5.6 
Bulgaria	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.1 	19.8 	15.9 	12.7 	11.5 	9.7 	8.2 	6.1 	5.3 	9.5 	12.6 	12.8 	13.5 	14.0 	11.2 	8.9 	7.7 	6.7 	5.7 	5.3 	6.3 	4.6 
Switzerland	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	4.6 	4.8 	4.6 	4.5 	5.0 	4.8 	4.8 	4.8 	4.1 	5.2 	4.6 
Cyprus	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	3.6 	3.9 	4.3 	5.3 	5.2 	4.4 	3.8 	3.7 	6.5 	6.0 	9.6 	13.7 	16.3 	16.5 	12.9 	12.9 	10.6 	7.8 	6.7 	8.1 	6.8 
Czech Republic	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 	4.3 	3.7 	4.2 	5.7 	7.4 	9.1 	8.2 	8.0 	7.4 	8.3 	7.8 	7.9 	6.6 	4.9 	4.8 	7.4 	6.9 	6.5 	7.1 	6.7 	5.8 	4.6 	3.6 	2.3 	2.2 	1.9 	3.0 	2.2 
Germany	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	7.2 	8.3 	8.2 	8.5 	9.4 	9.7 	9.0 	8.2 	7.7 	8.1 	9.2 	9.8 	10.7 	10.7 	9.4 	8.1 	7.0 	7.1 	6.1 	5.2 	5.0 	4.9 	4.6 	4.2 	3.7 	3.4 	3.1 	3.1 	3.9 	3.2 
Denmark	8.4 	7.4 	5.6 	4.9 	5.0 	6.4 	7.0 	7.4 	8.2 	9.3 	8.8 	7.1 	6.6 	5.7 	5.1 	4.9 	5.3 	4.1 	4.7 	4.7 	5.8 	5.3 	4.1 	3.8 	3.3 	4.2 	7.5 	8.2 	7.9 	7.4 	6.9 	7.1 	6.3 	5.6 	5.3 	5.7 	5.1 	5.9 	4.6 
M,SA,TOTAL,PC_ACT,T,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	9.5 	8.6 	8.5 	8.9 	9.2 	9.3 	9.0 	8.0 	7.4 	8.4 	10.2 	10.2 	10.8 	12.0 	11.9 	11.4 	10.5 	9.7 	8.7 	7.9 	7.5 	8.2 	7.0 
Estonia	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.3 	11.5 	11.9 	10.4 	9.5 	6.8 	5.1 	4.1 	9.3 	16.9 	14.2 	10.9 	9.6 	8.6 	6.5 	6.7 	6.4 	6.1 	4.3 	4.6 	7.2 	5.5 
